financial_year,reporting_period,month,organisation,org_code,org_name,region_code,region_name,rgn19cd,sas_ordinary_elective,sas_daycase_elective,sas_elective_total,sas_non_elective,sas_first_attendances_GP_ref,sas_first_attendances_other_ref,sas_first_attendances_total,sas_first_attendances_DNA,sas_subsequent_attendances_seen,sas_subsequent_attendances_DNA,as_ordinary_elective,as_daycase_elective,as_elective_total,as_non_elective,as_first_attendances_GP_ref,as_first_attendances_other_ref,as_first_attendances_total,as_first_attendances_DNA,as_subsequent_attendances_seen,as_subsequent_attendances_DNA
2019-20,14,Apr-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,13065,69900,82965,65130,108605,97725,206330,13270,382180,27640,13440,69980,83420,78455,128105,142600,270705,17015,590775,99280
2019-20,14,May-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,14215,72985,87205,67555,114540,104105,218650,14665,399885,30335,14570,73065,87635,81410,133770,151120,284890,18785,618800,31175
2019-20,14,Jun-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,14095,69425,83520,64010,110920,99660,210580,14375,377385,28625,14470,69480,83950,77700,128905,143915,272820,18150,583485,52810
2019-20,14,Jul-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,14540,77185,91725,69095,123705,108120,231825,16360,422845,32160,14950,77270,92220,84250,143725,157520,301245,20785,652460,68390
2019-20,14,Aug-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,13375,69885,83260,65565,105435,94285,199715,14035,367795,28125,13750,69960,83710,79795,122555,137225,259780,17970,572185,38485
2019-20,14,Sep-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,13255,70840,84095,65400,113660,101275,214935,15350,392075,31210,13635,70915,84545,79360,131420,144645,276065,19200,599825,66545
2019-20,14,Oct-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,14510,77845,92355,70580,125200,109855,235050,16610,432810,32750,14885,77915,92800,85180,144475,159280,303750,20825,664795,60375
2019-20,14,Nov-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,13775,74765,88545,68685,118660,102450,221110,15495,407635,30575,14080,74820,88905,82440,137075,148465,285540,19510,627705,440
2019-20,14,Dec-19,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,11755,65995,77745,69065,101590,91085,192675,14440,347755,27935,12050,66045,78095,82455,117760,131640,249400,17875,544790,105365
2019-20,14,Jan-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,12860,77155,90015,69230,117915,107195,225110,15815,424820,30975,13185,77215,90400,83000,136845,155895,292735,19830,656925,34020
2019-20,14,Feb-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,12600,71405,84005,62980,110940,97365,208310,13585,378175,26950,12960,71465,84425,75690,128660,140645,269305,16980,583925,57200
2019-20,14,Mar-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,9895,57260,67155,56770,92395,80935,173330,14445,336935,27530,10275,57310,67585,69595,106710,118965,225675,17915,530795,71415
2020-21,14,Apr-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,3025,20000,23025,39745,38810,42435,81240,4885,212070,11125,3220,20020,23245,50890,46955,66495,113450,6315,358735,41705
2020-21,14,May-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,4075,22790,26865,49865,51005,53085,104085,5560,224580,11835,4285,22825,27110,62100,58965,77540,136500,6685,369245,70130
2020-21,14,Jun-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,5840,33830,39670,54955,70090,72105,142200,8475,300490,17060,6070,33880,39955,67315,80795,102520,183315,10095,470280,63695
2020-21,14,Jul-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,7965,44585,52555,60845,77785,86440,164225,10050,331005,20405,8235,44675,52910,73930,90205,121250,211455,12235,522125,465
2020-21,14,Aug-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,9100,44565,53665,59520,70660,82325,152980,9510,293420,20955,9300,44635,53940,72170,83285,114740,198025,11850,470510,99750
2020-21,14,Sep-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,10395,55610,66005,61045,91065,99050,190115,13095,362250,27820,10575,55750,66325,73350,106515,137295,243810,16105,566515,31780
2020-21,14,Oct-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,11560,62445,74005,61655,93395,101535,194925,12090,369900,29190,11780,62605,74385,74135,110000,143155,253155,15240,582880,55575
2020-21,14,Nov-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,11085,61745,72825,57380,98115,101630,199745,12925,379475,29635,11245,61890,73135,69640,115345,143855,259195,16035,593075,67600
2020-21,14,Dec-20,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,9595,55595,65190,56270,85315,94270,179585,12190,340800,27865,9795,55695,65495,67600,100665,132815,233480,15140,541325,39370
2020-21,14,Jan-21,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,4830,41420,46250,53295,74375,80245,154620,10345,315650,24340,5020,41490,46510,65140,87910,115585,203495,13140,500530,65320
2020-21,14,Feb-21,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,5945,44925,50870,51795,75640,81215,156855,8760,317145,21495,6155,45010,51170,63105,89085,116315,205405,10900,495955,60765
2020-21,14,Mar-21,Region of CCG,NA,NA,Y61,EAST OF ENGLAND COMMISSIONING REGION,E12000006,8760,59705,68465,60715,97160,103160,200320,11090,400150,26655,9000,59810,68805,73785,114405,145640,260045,13670,622075,455
2019-20,14,Apr-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16395,78665,95060,80905,168545,183140,351685,39175,637535,72680,17200,79060,96260,105465,199785,236770,436550,48440,881825,110080
2019-20,14,May-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,18990,83780,102775,83525,177650,198735,376385,41945,676415,77595,19805,84150,103955,108995,210310,257350,467660,51565,934210,34650
2019-20,14,Jun-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,18225,79945,98170,79085,170315,192805,363120,40190,644745,73960,18985,80295,99280,103530,200440,247585,448030,49215,883965,60015
2019-20,14,Jul-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,19705,88270,107980,82990,191305,213135,404440,45290,719185,81515,20545,88665,109210,108460,223940,274000,497940,55345,988820,76995
2019-20,14,Aug-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,18205,78665,96870,78555,163500,184915,348420,40245,611880,69785,19080,79085,98165,103445,192040,239925,431970,49390,853635,44575
2019-20,14,Sep-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,18350,81585,99935,78050,174170,204390,378560,42065,662950,75485,19115,82000,101115,102605,202630,263680,466310,51100,909790,72245
2019-20,14,Oct-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,20020,89815,109835,82950,192185,222140,414330,44615,726865,80410,20875,90320,111195,109180,223570,288490,512065,54645,998295,67335
2019-20,14,Nov-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,19045,84670,103715,81900,180415,210745,391160,41060,683430,72740,19905,85085,104990,106870,208390,274610,483000,50530,936010,520
2019-20,14,Dec-19,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16475,72655,89130,81590,156595,185280,341875,38040,588210,67405,17330,73050,90380,106930,180145,243445,423590,46675,815080,95810
2019-20,14,Jan-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,18025,87300,105325,82525,172810,223440,396250,42150,711685,78060,18895,87810,106700,107025,200375,291605,491980,51915,978940,30335
2019-20,14,Feb-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,16300,82865,99165,75495,166215,199820,366035,37055,635370,69270,17210,83300,100510,98685,192230,262645,454875,45780,872840,50800
2019-20,14,Mar-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,11905,59490,71395,64895,134875,159935,294810,36770,549685,65540,12925,59850,72780,88625,155745,216620,372360,45525,768095,67675
2020-21,14,Apr-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,4545,17150,21695,49270,59830,90240,150070,13690,342165,27940,5555,17360,22915,70665,69705,132480,202190,17840,516095,39430
2020-21,14,May-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,6075,22450,28525,56700,70190,109600,179790,14540,375135,29430,7040,22655,29690,80595,80305,153775,234080,18410,555625,61065
2020-21,14,Jun-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,8645,35105,43750,64390,98220,151670,249890,20930,510830,40130,9635,35495,45130,88135,112085,203690,315770,25685,717220,62510
2020-21,14,Jul-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,11945,49635,61575,70155,108245,171990,280235,24065,573920,49370,13045,50155,63200,95585,124470,229855,354325,29700,805695,460
2020-21,14,Aug-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,12905,53445,66350,68605,101950,162135,264085,23985,507505,48630,13895,54165,68060,92785,117450,213765,331215,29650,715390,101640
2020-21,14,Sep-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,13635,66615,80250,70945,132020,202050,334070,31175,650060,65005,14630,67465,82095,95285,150870,262475,413350,37905,891420,32510
2020-21,14,Oct-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,15415,73865,89285,72145,144560,213685,358245,33430,667515,66070,16490,74760,91250,97135,164005,276880,440885,40725,915695,55285
2020-21,14,Nov-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,14570,72565,87135,68440,150330,215560,365890,34665,683120,67265,15625,73415,89040,91555,170125,277705,447830,41710,930235,71425
2020-21,14,Dec-20,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,12780,62230,75010,69015,133950,200575,334525,33435,607070,62300,13865,62880,76745,90630,150885,256900,407785,40400,835785,42530
2020-21,14,Jan-21,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,6725,40535,47260,66175,112635,187905,300545,28645,529735,54250,7715,40855,48565,88355,127305,248500,375805,34565,736080,68615
2020-21,14,Feb-21,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,8255,47380,55635,62385,127155,190710,317865,26440,554060,52965,9265,47915,57180,84160,142120,246320,388435,31885,764685,66360
2020-21,14,Mar-21,Region of CCG,NA,NA,Y56,LONDON COMMISSIONING REGION,E12000007,11585,67655,79240,74145,160770,217400,378170,32050,685895,63545,12670,68305,80970,98760,179160,287035,466195,38495,945595,445
2019-20,14,Apr-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,21815,118495,140310,117295,184870,165675,350545,23980,642630,45000,22635,118715,141350,138915,250975,253290,504265,35290,992605,109275
2019-20,14,May-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,23560,124735,148295,121165,191995,171980,363980,25430,670140,47380,24470,125010,149480,144850,260455,263990,524445,35715,1031415,35080
2019-20,14,Jun-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,22770,117480,140250,114210,183925,162305,346230,24245,632590,44885,23550,117725,141280,137190,249660,247865,497520,34160,969090,59100
2019-20,14,Jul-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,24535,130655,155190,121235,205515,181630,387140,27515,704945,50800,25260,130840,156100,144555,277955,276120,554075,38805,1088220,78420
2019-20,14,Aug-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,22765,117640,140405,114955,175450,157185,332640,23890,609120,44365,23370,117790,141155,138540,238940,239575,478515,33840,950530,45045
2019-20,14,Sep-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,22400,119890,142290,114290,189860,168565,358425,25670,656925,47565,23050,120120,143170,137060,257570,254860,512425,36190,1008835,73515
2019-20,14,Oct-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,24715,130180,154895,122865,208850,181495,390350,27255,719130,52500,25360,130360,155720,145795,282675,276350,559025,38340,1108480,72100
2019-20,14,Nov-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,23475,124960,148440,120250,196165,169710,365875,25730,675210,49125,24085,125155,149240,141985,263710,258840,522550,36355,1039445,530
2019-20,14,Dec-19,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,20485,111215,131700,120005,170390,151380,321770,24165,589500,44980,20970,111355,132325,141705,230715,231085,461800,33800,909765,99210
2019-20,14,Jan-20,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,21695,128180,149875,120765,200900,175590,376490,26155,710220,51210,22145,128415,150555,142860,273605,271220,544825,37210,1090430,32600
2019-20,14,Feb-20,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,21835,118810,140645,110360,184245,159035,343275,22810,629940,44335,22295,119040,141335,130735,248440,244925,493365,32215,978550,55355
2019-20,14,Mar-20,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,17945,94040,111985,100545,147165,132985,280150,23565,562220,45120,18380,94180,112560,121410,198275,204470,402745,32800,864595,73595
2020-21,14,Apr-20,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,6380,34325,40705,72930,62670,68645,131315,9425,374580,20655,6600,34335,40930,92145,85265,109845,195110,13470,574950,41595
2020-21,14,May-20,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,7625,40365,47990,86325,76760,84230,160990,9625,402355,21060,7880,40385,48265,107305,101755,130530,232285,13525,603805,67380
2020-21,14,Jun-20,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,10305,56590,66895,95765,106790,114805,221595,13610,521465,29880,10585,56615,67200,116930,141035,176215,317250,19195,774095,66325
2020-21,14,Jul-20,Region of CCG,NA,NA,Y60,MIDLANDS COMMISSIONING REGION,E12000010,13675,73050,86725,105360,121720,129415,251135,16555,559395,35875,13960,73090,87045,127690,166120,200260,366380,23490,845765,445
